City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
261,Kuala Terengganu,MY,2021-10-04 18:15:08,5.3302,103.1408,77.63,86,100,4.68
262,Tsirguliina,EE,2021-10-04 18:15:08,57.864,26.1947,53.1,71,54,11.45
263,Spring Valley,US,2021-10-04 18:15:09,36.108,-115.245,84.29,22,75,1.99
264,Danjiangkou,CN,2021-10-04 18:15:09,32.5428,111.5086,63.25,80,94,11.77
265,Saint George,US,2021-10-04 18:15:09,37.1041,-113.5841,90.07,27,1,1.99
266,Rwamagana,RW,2021-10-04 18:15:10,-1.9487,30.4347,71.04,72,88,2.93
267,Komsomolskiy,UZ,2021-10-04 18:15:10,40.4272,71.7189,53.02,39,5,2.68
268,Punta Alta,AR,2021-10-04 18:14:15,-38.8759,-62.0736,64.74,33,0,4.97
269,Sale,MA,2021-10-04 18:10:16,34.0389,-6.8166,68.68,60,20,12.66
270,Isla Vista,US,2021-10-04 18:15:12,34.4133,-119.861,90.07,39,40,0.0
271,San Jose,US,2021-10-04 18:10:51,37.3394,-121.895,87.69,28,75,0.0
272,Petropavlovsk-Kamchatskiy,RU,2021-10-04 18:15:12,53.0452,158.6483,41.58,75,43,21.63
273,Koboko,UG,2021-10-04 18:15:13,3.4136,30.9599,64.74,89,66,2.48
274,Khovu-Aksy,RU,2021-10-04 18:15:13,51.1333,93.6,27.97,64,75,4.12
275,Ruidoso,US,2021-10-04 18:15:13,33.3317,-105.673,71.06,36,75,6.91
276,Mayfield,US,2021-10-04 18:15:14,36.7417,-88.6367,79.74,68,75,0.0
277,Cutro,IT,2021-10-04 18:15:14,39.0353,16.9819,69.06,73,2,7.52
278,Tiznit,MA,2021-10-04 18:15:15,29.5833,-9.5,74.03,50,96,4.38
279,Nanakuli,US,2021-10-04 18:15:15,21.3906,-158.1547,80.55,71,1,4.61
280,Lincoln,US,2021-10-04 18:15:02,40.8,-96.667,82.38,34,1,3.0
281,Port Lincoln,AU,2021-10-04 18:15:16,-34.7333,135.8667,54.91,65,79,10.29
282,Seoul,KR,2021-10-04 18:14:27,37.5683,126.9778,76.39,86,100,6.55
283,Torbay,CA,2021-10-04 18:15:16,47.6666,-52.7314,51.28,85,100,4.0
284,Braganca,BR,2021-10-04 18:11:49,-1.0536,-46.7656,89.31,49,100,9.04
285,Richards Bay,ZA,2021-10-04 18:15:17,-28.783,32.0377,63.91,76,100,7.67
286,Arlit,NE,2021-10-04 18:15:17,18.7369,7.3853,95.86,12,3,5.28
287,Centralia,US,2021-10-04 18:14:34,46.7162,-122.9543,58.51,78,90,3.44
288,Krasnoarmeysk,RU,2021-10-04 18:15:19,51.0239,45.6969,47.28,73,100,11.59
289,Airai,TL,2021-10-04 18:15:19,-8.9266,125.4092,59.18,83,42,0.76
290,Guerrero Negro,MX,2021-10-04 18:11:09,27.9769,-114.0611,79.43,50,40,11.61
291,Mudigere,IN,2021-10-04 18:15:19,13.1333,75.6333,67.5,94,54,1.25
292,Rundu,NA,2021-10-04 18:15:21,-17.9333,19.7667,79.7,12,19,4.7
