City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
311,Huarmey,PE,-10.0681,-78.1522,64.51,88,70,10.67,broken clouds
312,Marrakesh,MA,31.6315,-8.0083,68.07,68,0,5.75,clear sky
313,Mapimi,MX,25.8167,-103.85,84.97,22,0,3.87,clear sky
314,Guhagar,IN,17.4842,73.1929,76.17,94,94,4.97,overcast clouds
315,Ucluelet,CA,48.9329,-125.5528,59.09,78,7,6.31,clear sky
316,Necochea,AR,-38.5473,-58.7368,47.03,83,18,9.44,few clouds
317,Malinovskiy,RU,61.1953,62.8397,39.02,66,95,13.09,overcast clouds
318,Bambanglipuro,ID,-7.95,110.2833,66.6,68,28,6.76,scattered clouds
319,Chokurdakh,RU,70.6333,147.9167,17.06,96,100,6.64,overcast clouds
320,Veraval,IN,20.9,70.3667,81.91,81,100,3.29,overcast clouds
321,Namikupa,TZ,-10.8333,39.6,63.37,96,7,1.63,clear sky
322,Cabedelo,BR,-6.9811,-34.8339,77.67,83,100,12.12,overcast clouds
323,Port-Gentil,GA,-0.7193,8.7815,77.95,89,100,15.41,moderate rain
324,Hithadhoo,MV,-0.6,73.0833,82.42,71,100,7.18,overcast clouds
325,Iquique,CL,-20.2208,-70.1431,60.84,82,61,3.8,broken clouds
326,Axim,GH,4.8699,-2.2405,77.36,91,100,6.24,overcast clouds
327,Ahipara,NZ,-35.1667,173.1667,61.11,61,43,10.83,scattered clouds
328,Port Hardy,CA,50.6996,-127.4199,53.78,71,75,9.22,broken clouds
329,Svetlyy,RU,54.675,20.1347,30.25,62,0,6.76,clear sky
330,Bathsheba,BB,13.2167,-59.5167,81.21,83,40,14.97,scattered clouds
331,Svetlaya,RU,46.5389,138.3297,57.22,43,0,4.81,clear sky
332,Saurimo,AO,-9.6608,20.3916,67.21,77,5,2.8,clear sky
333,Broome,US,42.2506,-75.833,66.0,79,40,1.01,scattered clouds
334,Seymchan,RU,62.8833,152.4333,24.75,56,25,3.8,scattered clouds
335,Mantua,IT,45.1667,10.7833,61.29,73,97,4.0,overcast clouds
336,Borovoy,RU,55.4333,86.0833,40.28,93,40,13.42,scattered clouds
337,Nouakchott,MR,18.0858,-15.9785,80.53,71,100,4.65,overcast clouds
338,Bor,RU,56.3567,44.0669,30.13,80,36,5.01,scattered clouds
339,Qui Nhon,VN,13.7667,109.2333,80.62,77,70,13.91,broken clouds
340,Katherine,AU,-14.4667,132.2667,88.12,51,6,6.91,clear sky
341,Pisco,PE,-13.7,-76.2167,63.01,82,0,16.11,clear sky
342,Ceyhan,TR,37.0247,35.8175,61.14,22,0,4.92,clear sky
343,Scarborough,GB,54.2797,-0.4044,61.52,90,31,7.31,scattered clouds
344,Hirara,JP,24.8,125.2833,84.06,78,40,16.11,scattered clouds
