City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
599,Kalmunai,LK,79.72,overcast clouds,7.4167,81.8167,VS Villa
602,Labuan,MY,84.36,few clouds,5.2767,115.2417,Tiara Labuan Hotel
603,Trairi,BR,79.75,overcast clouds,-3.2778,-39.2689,janelas do mar
606,Sur,OM,82.17,clear sky,22.5667,59.5289,Sur Plaza Hotel
612,Katobu,ID,87.24,broken clouds,-4.9408,122.5276,La Ode Husein
614,Sanghar,PK,78.87,clear sky,26.0466,68.9481,Goklani House گوکلانی ہائوس
623,Itapirapua,BR,81.43,overcast clouds,-15.8233,-50.6133,Hotel Nossa Senhora Aparecida
624,Ternate,ID,83.91,light rain,0.8,127.4,Grand Dafam Bela Ternate
626,Dingle,PH,76.71,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
628,Juanjui,PE,77.59,overcast clouds,-7.1779,-76.7314,Cuchitril
634,Oume,JP,79.25,overcast clouds,35.7839,139.2431,Kampo Inn Ome
637,Cape Coast,GH,77.85,overcast clouds,5.1053,-1.2466,Samrit Hotel
638,Belmonte,BR,75.7,broken clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
641,Douentza,ML,87.28,overcast clouds,14.9951,-2.9517,Ogomono Doumbo
643,Lincoln,US,80.51,clear sky,40.8,-96.667,Courtyard by Marriott Lincoln Downtown/Haymarket
647,Balikpapan,ID,81.59,few clouds,-1.2675,116.8289,ibis Balikpapan
648,Miri,MY,84.34,few clouds,4.4148,114.0089,"Mega Hotel, Miri"
652,Salinopolis,BR,79.74,scattered clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
661,Cururupu,BR,76.35,overcast clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
665,Daru,PG,82.65,broken clouds,-9.0763,143.2092,Daru Lodge
666,Sao Jose Da Coroa Grande,BR,76.05,overcast clouds,-8.8978,-35.1478,Crôa Mares Hotel
672,Tyler,US,81.79,clear sky,32.3513,-95.3011,The Woldert-Spence Manor
674,Guanica,PR,83.05,clear sky,17.9716,-66.908,Copamarina Beach Resort & Spa
675,Banaue,PH,76.73,overcast clouds,16.9136,121.0618,Rice Homestay
680,Kismayo,SO,77.32,clear sky,-0.3582,42.5454,Agan-Hotel
682,Itoman,JP,83.17,broken clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
689,Atambua,ID,86.34,few clouds,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
690,Sal Rei,CV,77.56,broken clouds,16.1833,-22.9167,Marine Club Beach Resort
